Illnesss_btnEditIllness, Редактировать больничный лист
PersonEducations_btnAddPersonEducation, Добавить образование сотрудника
PersonEducations_btnClosePersonEducation, Закрыть
PersonEducations_btnDeletePersonEducation, Удалить образование сотрудника
PersonEducations_btnEditPersonEducation, Редактировать образование сотрудника
PersonLanguageLevels, Владение языками
PersonLanguageLevels_btnAddPersonLanguageLevel, Добавить владение языком
PersonLanguageLevels_btnClosePersonLanguageLevel, Закрыть
PersonLanguageLevels_btnDeletePersonLanguageLevel, Удалить владение языком
PersonLanguageLevels_btnEditPersonLanguageLevel, Редактировать владение языком
PersonPhones, Контакты сотрудника
PersonPhones_btnAddPersonPhone, Добавить контакт сотрудника
PersonPhones_btnClosePersonPhone, Закрыть
PersonPhones_btnDeletePersonPhone, Удалить контакт сотрудника
PersonPhones_btnEditPersonPhone, Редактировать контакт сотрудника
PersonQualityUppers, Повышения квалификации
PersonQualityUppers_btnAddPersonQualityUpper, Добавить повышение квалификации
PersonQualityUppers_btnClosePersonQualityUpper, Закрыть
PersonQualityUppers_btnDeletePersonQualityUpper, Удалить повышение квалификации
PersonQualityUppers_btnEditPersonQualityUpper, Редактировать повышение квалификации
PersonRanks, Звания сотрудника
PersonRanks_btnAddPersonRank, Добавить звание сотрудника
PersonRanks_btnClosePersonRank, Закрыть
PersonRanks_btnDeletePersonRank, Удалить звание сотрудника
PersonRewardss, Награды сотрудника
PersonRewardss_btnAddPersonRewards, Добавить награду сотрудника
PersonRewardss_btnClosePersonRewards, Закрыть
PersonRewardss_btnDeletePersonRewards, Удалить награду сотрудника
PersonRewardss_btnEditPersonRewards, Редактировать награду сотрудника
PersonVacations, Отпуски сотрудника
PersonVacations_btnAddPersonVacation, Добаить отпуск сотрудника
PersonVacations_btnClosePersonVacation, Закрыть
PersonVacations_btnDeletePersonVacation, Удалить отпуск сотрудника
PersonVacations_btnEditPersonVacation, Редактировать отпуск сотрудника
Relatives, Родственники
Relatives_btnAddRelative, Добавить родственника
Relatives_btnCloseRelative, Закрыть
Relatives_btnDeleteRelative, Удалить родственника
Relatives_btnEditRelative, Редактировать родственника
TypeDocument_Name, Тип документа
AnnualDeclaration_Year, Год
AnnualEstimate_grade, Оценка
AnnualEstimate_Year, Год
Evaluation_Name, Оценка
Evaluation_Description, Описание
HistoryEmployment_DateStart, Дата начало
HistoryEmployment_DateFinish, Дата окончания
HistoryEmployment_StateItem, IШтатная единица
HistoryEmployment_Document, Документ
HistoryEmployment_WorkerStatus, Id_WorkerStatus
HistoryEmployment_WorkingType, Id_WorkingType
HistoryEmployment_TypeWorkingHiring, Id_HiringType
MentoringHistory_Date, Дата
MentoringHistory_Description, Описание работ
MentoringHistory_Notes, Дополнение
MentoringHistory_Subject, Id_Subject
MentoringHistory_Evaluation, Id_Evaluation
MentoringHistory_Recomendation, Id_Recomendation
Mentoring_DateStart, Дата Начало
Mentoring_DateFinish, Дата окончания
Mentoring_Workers, Id_Mentor
Recomendation_Name, Рекомендации
Subject_Name, Тема
TypeWorkingHiring_Name, Название
TypeWorkingHiring_Description, Описание
TypeWorkingHiring_Code, Код
WorkerStatus_Name, Название
WorkerStatus_Description, Описание
WorkerStatus_Code, Код
WorkingType_Name, Название
WorkingType_Description, Описание
